id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
1,Fluoxetine,poor,1.82891609949082,4174.850189102985,0.191066,-1.48e-4,-1.47e-4,0.354,1.061,1165.831,NA,NA,NA,0.4085
2,Fluoxetine,rapid,47.25260026118595,1363.2098194915914,0.063905,-0.007152,-0.00443,17.165,31.893,47.13,158.395,357.001,619.758,3.556
3,Fluoxetine,poor,1.4931730377695167,4245.1536058278525,0.183038,-1.96e-4,-1.85e-4,0.469,1.331,1099.509,NA,NA,NA,0.4854
4,Fluoxetine,normal,3.0467520256739533,2226.1542245460532,0.209948,-0.001374,-0.001103,3.296,7.944,259.091,597.056,1134.609,NA,3.1894
5,Fluoxetine,normal,5.046789828590769,2094.692698286935,0.154547,-0.002369,-0.001862,5.686,13.407,149.392,353.118,675.492,1079.187,3.9123
6,Fluoxetine,normal,16.076077353235597,2979.9292988948832,0.080418,-0.003396,-0.002662,8.15,19.17,98.767,233.01,440.279,694.739,2.8927
7,Fluoxetine,rapid,8.300840204212966,4272.532984438219,0.130743,-0.001125,-9.33e-4,2.699,6.719,282.306,603.633,1078.395,NA,1.7124
8,Fluoxetine,normal,6.400594681073449,2916.449843398876,0.135166,-0.001878,-0.001503,4.508,10.822,184.946,422.715,789.75,1242.716,2.7926
9,Fluoxetine,normal,19.352166507655504,1565.8823307245805,0.136271,-0.003254,-0.002299,7.808,16.553,130.527,389.975,857.726,NA,4.0443
10,Fluoxetine,normal,2.212634626727263,2207.0281484513102,0.231107,-0.001133,-9.17e-4,2.72,6.602,314.454,733.53,1429.522,NA,2.9248
11,Fluoxetine,rapid,18.609267707025815,1634.387990016561,0.07503,-0.006159,-0.00437,14.783,31.464,51.97,143.65,306.626,526.794,4.2011
12,Fluoxetine,normal,15.685499867282996,3001.951228328885,0.169697,-0.001118,-9.04e-4,2.684,6.51,321.951,761.005,NA,NA,2.1153
