id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
1,Paroxetine,normal,4.868186018846401,271.81731052800666,0.085052,-0.01919,-0.010717,46.055,77.165,5.601,28.24,66.942,118.104,10.5456
2,Paroxetine,normal,13.9888947535413,374.7769585941163,0.029566,-0.030346,-0.01326,72.829,95.471,NA,7.661,26.232,50.78,4.4409
3,Paroxetine,rapid,23.821860539450533,601.5754494656935,0.017355,-0.03123,-0.013369,74.953,96.257,NA,6.544,24.048,47.188,2.6321
4,Paroxetine,rapid,22.54004719518499,536.3055019924948,0.018335,-0.032102,-0.013465,77.045,96.947,NA,5.477,21.97,43.772,2.8059
5,Paroxetine,normal,16.02926418709494,942.4595297595002,0.025813,-0.018471,-0.010471,44.331,75.393,6.475,30.315,71.069,124.943,3.1387
6,Paroxetine,normal,36.47805456117222,1137.5101439056607,0.011349,-0.028013,-0.012912,67.231,92.97,NA,10.825,32.439,61.012,1.6573
7,Paroxetine,poor,4.466972446074016,724.1520715255147,0.081286,-0.007865,-0.005509,18.876,39.667,36.724,102.455,214.823,NA,5.6577
8,Paroxetine,rapid,18.409590636859097,820.5584583842714,0.022515,-0.022482,-0.01171,53.957,84.315,2.253,20.326,51.221,92.062,3.0092
9,Paroxetine,normal,13.96119191072226,321.1508695363674,0.029594,-0.032586,-0.013513,78.208,97.296,NA,4.898,20.843,41.92,4.5509
10,Paroxetine,normal,8.7863138915264,556.8555287749629,0.047021,-0.017456,-0.010105,41.894,72.754,7.825,33.522,77.452,135.524,5.5493
11,Paroxetine,normal,13.30090641131324,371.027345157954,0.031103,-0.029732,-0.013177,71.357,94.875,NA,8.459,27.795,53.355,4.6393
12,Paroxetine,normal,4.578711045322721,806.7989046547343,0.077236,-0.007281,-0.00516,17.474,37.153,40.85,112.295,234.432,NA,5.0659
13,Paroxetine,rapid,16.517011632866602,566.2923360487088,0.025076,-0.026533,-0.012645,63.68,91.044,NA,13.04,36.806,68.221,3.5886
14,Paroxetine,normal,7.682660220300708,341.12602028073525,0.053952,-0.02254,-0.011726,54.096,84.427,2.202,20.206,50.982,91.668,7.2189
15,Paroxetine,normal,25.071384566705294,477.36529655357856,0.016456,-0.035123,-0.013714,84.296,98.738,NA,1.95,15.148,32.594,2.591
16,Paroxetine,normal,32.458661871900695,588.877936191762,0.012706,-0.035715,-0.013748,85.716,98.987,NA,1.271,13.846,30.469,2.0109
17,Paroxetine,normal,13.242171878088678,825.6041493221293,0.031211,-0.017675,-0.010186,42.42,73.337,7.521,32.801,76.016,133.144,3.7081
18,Paroxetine,normal,7.977031812094273,515.2541670350015,0.051767,-0.017205,-0.010011,41.291,72.077,8.182,34.372,79.144,138.329,6.0615
19,Paroxetine,normal,15.014912882592512,1201.0189367156777,0.027251,-0.014534,-0.008926,34.882,64.266,12.699,45.131,100.575,173.868,2.8966
20,Paroxetine,normal,4.424483470981277,489.46324338015705,0.0894,-0.01107,-0.00728,26.569,52.418,21.662,66.517,143.197,244.563,7.9732
21,Paroxetine,poor,2.110203773908954,650.4459185670223,0.130556,-0.004247,-0.003214,10.192,23.143,79.539,204.519,NA,NA,5.5183
22,Paroxetine,rapid,19.709543500117643,710.4819150415781,0.021019,-0.025751,-0.012488,61.802,89.913,NA,14.295,39.281,72.311,2.9733
23,Paroxetine,normal,11.171569432943729,537.9916469056211,0.0371,-0.021325,-0.011386,51.181,81.982,3.324,22.85,56.23,100.356,4.8409
24,Paroxetine,rapid,37.13489513247159,602.9016798479038,0.011095,-0.036972,-0.013808,88.733,99.414,NA,NA,11.061,25.937,1.775
25,Paroxetine,normal,45.50379008657858,687.6002311107228,0.009049,-0.037702,-0.013834,90.486,99.603,NA,NA,9.403,23.25,1.4565
26,Paroxetine,normal,8.017748770547305,498.5905388794657,0.051551,-0.01771,-0.010198,42.503,73.428,7.474,32.688,75.792,132.773,6.1311
27,Paroxetine,poor,11.252402623324302,446.3577507469505,0.036829,-0.024264,-0.012159,58.235,87.546,0.778,16.862,44.358,80.705,5.0861
28,Paroxetine,normal,13.60152639190342,532.5407331450814,0.030467,-0.024466,-0.012206,58.719,87.885,0.622,16.497,43.637,79.512,4.2219
