id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
1,Sertraline,normal,43.988657847230215,949.211531499426,0.046517,-0.033289,-0.013587,79.893,97.826,NA,4.348,19.305,39.074,7.2012
2,Sertraline,normal,35.11099354556393,1450.9603426535114,0.058726,-0.023416,-0.011985,56.199,86.29,1.776,18.533,47.176,85.04,7.9985
3,Sertraline,normal,46.6486291125707,931.057156289584,0.04381,-0.034342,-0.013668,82.42,98.413,NA,3.14,16.972,35.265,6.8485
4,Sertraline,normal,56.54369930814722,2083.1083142978155,0.036432,-0.025191,-0.012397,60.459,89.255,0.419,15.357,40.891,74.65,5.1131
5,Sertraline,normal,39.95296094454677,1552.0237657313342,0.051585,-0.024369,-0.012213,58.485,87.934,1.025,16.778,43.705,79.299,7.1435
6,Sertraline,normal,32.52611075136598,1762.8132759549624,0.063421,-0.019408,-0.010829,46.578,77.967,5.615,27.59,65.155,114.815,7.9243
7,Sertraline,normal,40.357285565723295,1263.5342326607429,0.050958,-0.027731,-0.012886,66.555,92.78,NA,11.414,33.113,61.802,7.4177
8,Sertraline,normal,33.58122684550272,1085.347551266934,0.061262,-0.027235,-0.012799,65.364,92.156,NA,12.136,34.54,64.153,8.8588
9,Sertraline,normal,30.322329654268717,1613.9570028991252,0.068037,-0.019664,-0.010912,47.194,78.569,5.327,26.908,63.802,112.574,8.5561
10,Sertraline,normal,45.38988863733479,2380.3058544915298,0.045454,-0.019876,-0.010981,47.703,79.061,5.093,26.358,62.707,110.758,5.7462
11,Sertraline,normal,29.735452897232175,1397.6178141419416,0.069386,-0.021474,-0.011465,51.537,82.546,3.477,22.535,55.113,98.18,9.0969
12,Sertraline,normal,17.613104310259818,816.8199573930509,0.117137,-0.021673,-0.011522,52.016,82.955,3.29,22.093,54.239,96.733,15.4221
13,Sertraline,normal,29.44740231991124,1166.5416299506596,0.069999,-0.024066,-0.012142,57.759,87.425,1.26,17.323,44.781,81.078,9.6438
14,Sertraline,normal,46.50069120727776,682.0524462820322,0.043709,-0.037857,-0.013841,90.858,99.653,NA,NA,9.251,22.692,7.042
15,Sertraline,normal,52.22313824141451,1557.709965890616,0.039357,-0.028484,-0.01301,68.363,93.671,NA,10.352,31.024,58.358,5.7845
16,Sertraline,normal,32.141922932516316,783.2731374113126,0.063776,-0.03155,-0.013418,75.721,96.613,NA,6.4,23.291,45.621,9.705
