id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
1,Venlafaxine_IR,normal,83.27210256956056,921.4125979647348,0.059056,-0.029418,-0.013667,70.602,98.399,5.087,13.9,26.915,42.6,8.8227
2,Venlafaxine_IR,normal,110.81844450432588,701.4634850574064,0.037267,-0.038092,-0.013883,91.422,99.957,1.11,6.035,13.475,22.532,5.9239
3,Venlafaxine_IR,normal,78.06089331401222,161.11340017616206,0.035299,-0.041262,-0.013889,99.03,99.999,NA,NA,3.465,9.17,5.8334
4,Venlafaxine_IR,rapid,104.26969195246924,231.7644072419928,0.03102,-0.041177,-0.013889,98.825,99.999,NA,0.209,4.492,10.307,5.1109
5,Venlafaxine_IR,poor,25.659753354013812,505.3947969520004,0.085691,-0.028078,-0.013453,67.387,96.86,4.713,14.482,29.704,48.694,12.6351
6,Venlafaxine_IR,normal,80.1671315755584,628.1501331459408,0.066403,-0.030512,-0.013644,73.229,98.236,3.91,12.264,25.247,41.611,9.993
7,Venlafaxine_IR,normal,48.07507713058482,621.1808785106673,0.098527,-0.0237,-0.012936,56.879,93.139,7.398,19.787,38.81,62.478,13.8812
8,Venlafaxine_IR,rapid,143.2068726797897,757.033948054933,0.078322,-0.026521,-0.013181,63.651,94.905,5.739,16.127,33.166,55.539,11.3231
9,Venlafaxine_IR,normal,38.24502284802652,164.22971657234012,0.07409,-0.037546,-0.01385,90.111,99.717,NA,3.384,11.777,23.851,11.8317
10,Venlafaxine_IR,rapid,133.7811048320137,555.2411676464443,0.060998,-0.031866,-0.013662,76.478,98.363,2.757,10.338,22.901,39.41,9.2754
11,Venlafaxine_IR,normal,44.91653395841622,460.5118891443078,0.067072,-0.033355,-0.013801,80.053,99.366,2.478,9.59,20.593,34.094,10.33
12,Venlafaxine_IR,normal,122.67827753507896,343.60642583101105,0.066922,-0.031533,-0.013589,75.679,97.842,1.793,9.729,23.455,41.612,10.1588
13,Venlafaxine_IR,normal,126.6622867941335,246.46704009050583,0.083999,-0.027928,-0.013162,67.027,94.769,2.633,13.147,31.217,55.105,12.3008
