id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
1,Venlafaxine_XR,normal,44.570738763180366,1839.1228601753671,0.115497,-0.012028,-0.00959,28.866,69.046,20.3,45.92,82.905,127.035,12.8581
2,Venlafaxine_XR,poor,35.189541226762145,340.315312345017,0.070793,-0.037728,-0.013865,90.547,99.828,NA,1.842,11.429,23.29,11.353
3,Venlafaxine_XR,normal,64.20510745308032,390.86425968606255,0.067733,-0.03562,-0.013782,85.489,99.227,NA,3.432,15.039,30.109,10.6884
4,Venlafaxine_XR,rapid,95.65723335347708,1163.739097577184,0.045207,-0.034503,-0.013816,82.808,99.472,NA,6.925,18.297,31.941,7.0538
5,Venlafaxine_XR,normal,151.77495648622286,469.47768383086384,0.081895,-0.029692,-0.013263,71.261,95.497,NA,9.645,27.611,51.341,12.2219
6,Venlafaxine_XR,normal,92.52746165950444,804.1180342136861,0.053783,-0.03512,-0.013815,84.288,99.466,NA,5.785,16.968,30.653,8.4358
7,Venlafaxine_XR,normal,72.78543236156963,267.35683842193436,0.095736,-0.029945,-0.013216,71.867,95.153,NA,8.334,27.222,52.233,14.3149
8,Venlafaxine_XR,normal,69.07829593731263,554.5378950793089,0.058541,-0.036148,-0.013831,86.755,99.584,NA,4.055,14.745,28.007,9.2644
9,Venlafaxine_XR,normal,53.755911544101856,1108.3028957340628,0.05412,-0.029695,-0.013478,71.267,97.043,1.162,11.391,27.052,46.607,8.1079
10,Venlafaxine_XR,rapid,214.46749015018796,454.1980160307819,0.038242,-0.039374,-0.013878,94.498,99.921,NA,NA,6.799,17.229,6.2275
11,Venlafaxine_XR,normal,184.5715412311246,316.71732677817766,0.025643,-0.041428,-0.013889,99.428,100,NA,NA,NA,5.174,4.2712
12,Venlafaxine_XR,rapid,78.13424161651146,754.9748463167396,0.036926,-0.039068,-0.013882,93.764,99.951,NA,1.097,9.206,19.094,5.976
13,Venlafaxine_XR,normal,166.2573520512422,367.9104488645649,0.033434,-0.040654,-0.013887,97.569,99.989,NA,NA,2.975,11.306,5.5119
14,Venlafaxine_XR,normal,62.55255753019627,831.666559066373,0.048135,-0.035353,-0.013822,84.848,99.522,NA,5.44,16.516,30.027,7.5654
15,Venlafaxine_XR,rapid,223.04045582660788,200.08380961387033,0.039178,-0.039386,-0.013876,94.528,99.908,NA,NA,6.105,16.913,6.3883
16,Venlafaxine_XR,poor,21.093404527842015,256.18505280313127,0.194298,-0.02244,-0.011593,53.856,83.467,2.775,20.371,52.476,95.82,25.779
17,Venlafaxine_XR,normal,73.22003949213625,318.16705165374174,0.049364,-0.039668,-0.013881,95.203,99.944,NA,NA,6.056,16.046,8.0594
18,Venlafaxine_XR,poor,29.45542815195175,323.01276998831014,0.109845,-0.031164,-0.013479,74.793,97.045,NA,8.231,24.188,44.824,16.665
19,Venlafaxine_XR,normal,102.08610867567016,541.3054773911847,0.042333,-0.039417,-0.013882,94.601,99.95,NA,NA,7.801,17.578,6.8808
20,Venlafaxine_XR,normal,133.50928456106195,489.0318554922501,0.038857,-0.039858,-0.013884,95.659,99.962,NA,NA,6.075,15.51,6.3486
21,Venlafaxine_XR,rapid,152.0883077090402,1067.7478520742309,0.04559,-0.036253,-0.013842,87.006,99.666,NA,4.836,14.997,27.524,7.2084
22,Venlafaxine_XR,normal,78.79002697620537,283.07328908953326,0.069058,-0.035229,-0.013734,84.551,98.883,NA,2.574,15.209,31.949,10.8762
23,Venlafaxine_XR,normal,94.27981548063892,446.0191195287968,0.041863,-0.039982,-0.013885,95.956,99.972,NA,NA,5.991,15.149,6.8444
24,Venlafaxine_XR,normal,89.23320601786665,331.57729161209187,0.058087,-0.037073,-0.013825,88.975,99.54,NA,1.089,11.62,25.475,9.2855
